scenario,town,id,near_towns,near_paths_first
ConstructionObstacleTwoWays,Town12,001439,,
ConstructionObstacleTwoWays,Town12,001485,,
ConstructionObstacleTwoWays,Town12,001542,,
ConstructionObstacleTwoWays,Town12,001554,,
noScenarios,Town04,Town04_Scenario8_20,,
noScenarios,Town04,Town04_Scenario8_78,,
noScenarios,Town04,Town04_Scenario8_79,,
noScenarios,Town04,Town04_Scenario9_15,,
noScenarios,Town04,Town04_Scenario9_17,,
noScenarios,Town04,Town04_Scenario9_18,,
noScenarios,Town04,Town04_Scenario9_72,,
noScenarios,Town05,Town05_Scenario8_164,,
noScenarios,Town05,Town05_Scenario8_165,,
noScenarios,Town06,002199,,
noScenarios,Town06,002200,,
noScenarios,Town06,002201,,
noScenarios,Town06,002202,,
noScenarios,Town06,002203,,
noScenarios,Town06,002204,,
noScenarios,Town06,002205,,
noScenarios,Town06,002206,,
noScenarios,Town06,002207,,
noScenarios,Town06,002208,,
noScenarios,Town06,Town06_Scenario8_3,,
noScenarios,Town06,Town06_Scenario8_33,,
noScenarios,Town06,Town06_Scenario8_34,,
noScenarios,Town06,Town06_Scenario8_36,,
noScenarios,Town06,Town06_Scenario8_4,,
noScenarios,Town06,Town06_Scenario8_5,,
noScenarios,Town06,Town06_Scenario8_6,,
noScenarios,Town06,Town06_Scenario8_7,,
noScenarios,Town07,Town07_Scenario8_1,,
noScenarios,Town07,Town07_Scenario8_34,,
noScenarios,Town07,Town07_Scenario8_40,,
noScenarios,Town07,Town07_Scenario9_2,,
noScenarios,Town07,Town07_Scenario9_33,,
noScenarios,Town07,Town07_Scenario9_39,,
noScenarios,Town10HD,Town10HD_Scenario8_3,,
noScenarios,Town10HD,Town10HD_Scenario8_4,,
noScenarios,Town10HD,Town10HD_Scenario9_30,,
