scenario,route_id,frame_count,annotation_status,annotation_num_frames,has_r2,r2_frames,r2_ratio,review_required_frames,review_required_ratio,abnormal_duration,status,first_sheet,sheet_dir,primary_rs_distribution,primary_event_distribution
AccidentTwoWays,Town01_Rep0_route_001548_route0_01_09_13_58_32,155,success,155,True,155,1.0,155,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town01_Rep0_route_001548_route0_01_09_13_58_32/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town01_Rep0_route_001548_route0_01_09_13_58_32,"{""R2"": 155}","{""R-E1"": 88, ""R-E2"": 21, ""U-E2"": 46}"
AccidentTwoWays,Town01_Rep0_route_001550_route0_01_10_23_45_04,137,success,137,True,137,1.0,137,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town01_Rep0_route_001550_route0_01_10_23_45_04/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town01_Rep0_route_001550_route0_01_10_23_45_04,"{""R2"": 137}","{""R-E1"": 75, ""R-E2"": 18, ""U-E2"": 44}"
AccidentTwoWays,Town07_Rep0_route_001443_route0_01_09_01_30_07,71,success,71,True,71,1.0,71,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town07_Rep0_route_001443_route0_01_09_01_30_07/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town07_Rep0_route_001443_route0_01_09_01_30_07,"{""R2"": 71}","{""R-E1"": 12, ""R-E2"": 31, ""U-E2"": 28}"
AccidentTwoWays,Town07_Rep0_route_001444_route0_01_11_03_38_42,53,success,53,True,53,1.0,53,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town07_Rep0_route_001444_route0_01_11_03_38_42/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town07_Rep0_route_001444_route0_01_11_03_38_42,"{""R2"": 53}","{""R-E1"": 11, ""R-E2"": 27, ""U-E2"": 15}"
AccidentTwoWays,Town07_Rep0_route_001457_route0_01_10_00_36_27,63,success,63,True,63,1.0,63,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town07_Rep0_route_001457_route0_01_10_00_36_27/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town07_Rep0_route_001457_route0_01_10_00_36_27,"{""R2"": 63}","{""R-E1"": 13, ""R-E2"": 20, ""U-E2"": 30}"
AccidentTwoWays,Town12_Rep0_1348_0_route0_01_09_17_57_16,186,success,186,True,186,1.0,186,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1348_0_route0_01_09_17_57_16/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1348_0_route0_01_09_17_57_16,"{""R2"": 186}","{""R-E1"": 95, ""R-E2"": 21, ""U-E2"": 70}"
AccidentTwoWays,Town12_Rep0_1358_0_route0_01_11_01_19_52,146,success,146,True,146,1.0,146,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1358_0_route0_01_11_01_19_52/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1358_0_route0_01_11_01_19_52,"{""R2"": 146}","{""R-E1"": 71, ""R-E2"": 34, ""U-E2"": 41}"
AccidentTwoWays,Town12_Rep0_1498_0_route0_01_11_03_33_47,124,success,124,True,124,1.0,124,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1498_0_route0_01_11_03_33_47/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1498_0_route0_01_11_03_33_47,"{""R2"": 124}","{""R-E1"": 64, ""R-E2"": 22, ""U-E2"": 38}"
AccidentTwoWays,Town12_Rep0_1950_0_route0_01_08_23_45_11,165,success,165,True,165,1.0,165,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1950_0_route0_01_08_23_45_11/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1950_0_route0_01_08_23_45_11,"{""R2"": 165}","{""R-E1"": 75, ""R-E2"": 21, ""U-E2"": 69}"
AccidentTwoWays,Town12_Rep0_1966_0_route0_01_10_01_38_50,115,success,115,True,115,1.0,115,1.0,False,written,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1966_0_route0_01_10_01_38_50/page_000.jpg,AutoMoT/keyframe_filter/collection_output/r2_rgb_route_sheets_20260708/route_sheets/AccidentTwoWays/Town12_Rep0_1966_0_route0_01_10_01_38_50,"{""R2"": 115}","{""R-E1"": 54, ""R-E2"": 27, ""U-E2"": 34}"
