scenario,route_id,frame_id,primary_road_structure,primary_event,events,regular_event,overlay_event,source_unusual_event,base_road_structure,intersection_road_structure,age_frames,age_seconds,max_frames,recovery_age_frames,recovery_max_frames,phase,reason
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,101,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,1,0.25,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,102,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,2,0.5,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,103,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,3,0.75,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,104,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,4,1.0,24,4,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,105,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,5,1.25,24,5,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,106,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,6,1.5,24,6,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,107,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,7,1.75,24,7,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,108,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,8,2.0,24,8,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,109,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,9,2.25,24,9,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,110,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,10,2.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,111,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,11,2.75,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,112,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,12,3.0,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,113,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,13,3.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,114,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,14,3.5,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,115,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,15,3.75,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,116,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,16,4.0,24,1,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,117,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,17,4.25,24,2,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,118,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,18,4.5,24,3,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,119,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,19,4.75,24,4,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,120,R5,R-E2,R-E2|R-E5,R-E5,R-E2,U-E2,R1,R5,20,5.0,24,5,12,recovery_to_target_lane,unusual_event_interrupted_by_intersection_rs
Accident,Town05_Rep0_route_001775_route0_01_08_20_19_47,121,R5,U-E2,R-E5|U-E2,R-E5,U-E2,U-E2,R1,R5,21,5.25,24,0,12,unusual_still_active,unusual_event_interrupted_by_intersection_rs
