scenario,route_id,num_frames,overlay_frame_count,first_overlay_frame,last_overlay_frame,overlay_events,regular_events,source_unusual_events,max_age_frames
Accident,Town12_Rep0_645_0_route0_01_09_01_03_44,326,24,155,178,R-E2|U-E2,R-E4,U-E2,24
AccidentTwoWays,Town15_Rep0_route_001385_route0_01_08_22_13_42,101,1,95,95,U-E2,R-E5,U-E2,1
ConstructionObstacle,Town06_Rep0_route_002027_route0_01_10_02_33_03,94,19,75,93,R-E2|U-E2,R-E4,U-E2,19
ConstructionObstacle,Town12_Rep0_653_0_route0_01_08_13_26_17,195,24,68,91,R-E2|U-E2,R-E4,U-E2,24
ConstructionObstacleTwoWays,Town07_Rep0_route_001186_route0_01_09_16_45_49,95,24,41,64,U-E2,R-E4,U-E2,24
ConstructionObstacleTwoWays,Town12_Rep0_route_001146_route0_01_10_09_18_13,311,5,84,88,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town12_Rep0_route_001147_route0_01_11_15_29_11,311,4,87,90,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town12_Rep0_route_001148_route0_01_08_14_19_00,150,6,55,60,R-E2|U-E2,R-E4,U-E2,6
ConstructionObstacleTwoWays,Town12_Rep0_route_001149_route0_01_08_20_09_23,187,6,52,57,R-E2|U-E2,R-E4,U-E2,6
ConstructionObstacleTwoWays,Town12_Rep0_route_001152_route0_01_10_01_52_18,168,4,88,91,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town12_Rep0_route_001154_route0_01_08_14_08_36,148,4,54,57,R-E2|U-E2,R-E4,U-E2,4
ConstructionObstacleTwoWays,Town12_Rep0_route_001162_route0_01_09_16_00_54,193,5,54,58,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town12_Rep0_route_001164_route0_01_08_19_28_01,124,5,54,58,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town12_Rep0_route_001166_route0_01_09_01_01_45,173,6,55,60,R-E2|U-E2,R-E4,U-E2,6
ConstructionObstacleTwoWays,Town12_Rep0_route_001168_route0_01_10_03_22_18,246,5,52,56,R-E2|U-E2,R-E4,U-E2,5
ConstructionObstacleTwoWays,Town12_Rep0_route_002664_route0_01_10_08_49_40,283,4,265,268,R-E2|U-E2,R-E4,U-E2,4
