scenario,route_id,route_class,total_frames,analyzed_frames,skipped_abnormal,signal_frames,possible_signal_color_frames,junction_frames,possible_junction_frames,nonsignal_junction_frames,red_signal_frames,yellow_signal_frames,green_signal_frames,stopline_crosswalk_frames,turn_marking_frames,max_signal_score,max_junction_score
Accident,Town03_Rep0_route_001783_route0_01_11_02_37_46,no_visible_R4_R5,118,118,False,0,1,0,11,0,1,1,1,1,10,20.0,2.0
Accident,Town03_Rep0_route_001784_route0_01_08_22_11_07,R5_only,100,100,False,0,85,35,65,35,83,16,18,100,30,22.0,3.0
Accident,Town03_Rep0_route_001785_route0_01_08_01_07_50,no_visible_R4_R5,195,195,False,0,0,1,18,1,0,0,0,1,18,0.0,2.0
Accident,Town03_Rep0_route_001786_route0_01_09_10_23_07,no_visible_R4_R5,201,201,False,0,0,0,19,0,0,0,0,1,18,0.0,2.0
Accident,Town03_Rep0_route_001787_route0_01_10_08_02_06,no_visible_R4_R5,186,186,False,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town03_Rep0_route_001788_route0_01_08_06_05_33,R5_only,157,157,False,0,39,88,29,88,39,0,1,110,74,5.0,3.0
Accident,Town03_Rep0_route_001789_route0_01_09_02_26_13,R5_only,254,254,False,0,0,153,3,153,0,0,0,155,60,0.0,3.0
Accident,Town03_Rep0_route_001790_route0_01_08_21_05_04,no_visible_R4_R5,254,254,False,0,0,0,2,0,0,0,0,1,2,0.0,2.5
Accident,Town03_Rep0_route_001791_route0_01_09_14_17_47,skipped_abnormal_duration,555,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town03_Rep0_route_001791_route0_01_11_11_12_22,skipped_abnormal_duration,586,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town03_Rep0_route_001792_route0_01_10_16_04_20,junction_uncertain_control,94,94,False,0,0,1,1,1,0,0,0,1,1,0.0,2.0
Accident,Town03_Rep0_route_001793_route0_01_10_10_59_37,R4_R5_shared,155,155,False,2,52,132,11,130,44,8,8,140,86,24.0,3.0
Accident,Town03_Rep0_route_001794_route0_01_08_23_07_21,no_visible_R4_R5,190,190,False,0,0,0,45,0,0,0,0,1,44,0.0,1.375
Accident,Town04_Rep0_route_001796_route0_01_10_11_37_09,skipped_abnormal_duration,377,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town04_Rep0_route_001797_route0_01_09_07_55_38,R5_only,80,80,False,0,0,1,0,1,0,0,0,1,0,0.0,2.0
Accident,Town04_Rep0_route_001798_route0_01_09_06_48_12,no_visible_R4_R5,124,124,False,0,124,0,124,0,0,3,124,124,84,102.0,3.0
Accident,Town04_Rep0_route_001799_route0_01_09_14_55_52,R4_R5_shared,218,218,False,10,62,29,189,19,0,0,62,218,77,21.0,3.0
Accident,Town04_Rep0_route_001800_route0_01_08_00_33_28,no_visible_R4_R5,309,309,False,0,1,0,1,0,0,0,1,1,1,7.0,2.5
Accident,Town04_Rep0_route_001801_route0_01_09_23_52_07,no_visible_R4_R5,263,263,False,0,1,0,263,0,0,0,1,263,93,11.0,3.0
Accident,Town04_Rep0_route_001802_route0_01_09_11_16_42,R5_only,155,155,False,0,0,13,142,13,0,0,0,155,48,0.0,3.0
Accident,Town04_Rep0_route_001803_route0_01_10_05_18_04,no_visible_R4_R5,90,90,False,0,0,0,1,0,0,0,0,1,0,0.0,2.0
Accident,Town04_Rep0_route_001804_route0_01_09_10_21_10,junction_uncertain_control,86,86,False,0,84,1,85,1,0,1,84,86,69,47.0,3.0
Accident,Town04_Rep0_route_001805_route0_01_10_21_51_03,skipped_abnormal_duration,446,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town04_Rep0_route_001806_route0_01_10_01_50_59,no_visible_R4_R5,87,87,False,0,1,0,1,0,0,0,1,1,0,1.0,2.0
Accident,Town04_Rep0_route_001807_route0_01_09_05_01_40,no_visible_R4_R5,123,123,False,0,2,0,123,0,0,0,2,123,117,1.0,3.0
Accident,Town04_Rep0_route_001808_route0_01_10_12_45_33,no_visible_R4_R5,134,134,False,0,0,0,1,0,0,0,0,1,0,0.0,2.0
Accident,Town04_Rep0_route_001809_route0_01_08_14_37_00,no_visible_R4_R5,308,308,False,0,4,1,307,1,0,0,4,308,136,8.0,3.0
Accident,Town04_Rep0_route_001810_route0_01_08_11_03_49,no_visible_R4_R5,292,292,False,0,176,0,292,0,0,0,176,292,4,7.0,2.5
Accident,Town04_Rep0_route_001812_route0_01_10_13_59_37,no_visible_R4_R5,151,151,False,0,1,0,1,0,0,0,1,1,0,20.0,2.0
Accident,Town04_Rep0_route_001814_route0_01_10_19_25_02,R5_only,82,82,False,0,78,1,81,1,1,0,78,82,3,61.0,2.5
Accident,Town04_Rep0_route_001815_route0_01_09_06_49_11,no_visible_R4_R5,178,178,False,0,0,0,178,0,0,0,0,178,169,0.0,3.0
Accident,Town05_Rep0_route_001761_route0_01_10_06_00_02,R5_only,133,133,False,0,0,24,108,24,0,0,0,61,126,0.0,3.0
Accident,Town05_Rep0_route_001762_route0_01_09_03_37_10,R5_only,124,124,False,0,0,34,89,34,0,0,0,116,122,0.0,3.0
Accident,Town05_Rep0_route_001763_route0_01_10_13_58_06,no_visible_R4_R5,162,162,False,0,0,0,2,0,0,0,0,2,0,0.0,2.0
Accident,Town05_Rep0_route_001764_route0_01_11_15_28_29,R5_only,137,137,False,0,0,18,119,18,0,0,0,137,71,0.0,3.0
Accident,Town05_Rep0_route_001765_route0_01_09_03_47_13,skipped_abnormal_duration,407,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town05_Rep0_route_001766_route0_01_08_19_50_07,skipped_abnormal_duration,392,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town05_Rep0_route_001767_route0_01_09_14_38_32,skipped_abnormal_duration,395,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town05_Rep0_route_001768_route0_01_09_09_44_35,skipped_abnormal_duration,397,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town05_Rep0_route_001769_route0_01_09_02_34_12,skipped_abnormal_duration,570,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town05_Rep0_route_001769_route0_01_11_08_09_05,skipped_abnormal_duration,596,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town05_Rep0_route_001770_route0_01_10_23_24_06,no_visible_R4_R5,194,194,False,0,0,1,5,1,0,0,0,1,6,0.0,3.0
Accident,Town05_Rep0_route_001771_route0_01_08_13_37_06,no_visible_R4_R5,256,256,False,0,0,0,8,0,0,0,0,5,6,0.0,3.0
Accident,Town05_Rep0_route_001772_route0_01_10_15_17_06,R4_R5_shared,259,259,False,9,37,180,79,171,4,0,34,259,258,8.0,3.0
Accident,Town05_Rep0_route_001773_route0_01_10_09_31_06,skipped_abnormal_duration,557,0,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Accident,Town05_Rep0_route_001774_route0_01_09_11_33_13,no_visible_R4_R5,142,142,False,0,1,0,142,0,0,0,1,142,104,15.0,3.0
