scenario,scenario_rgb_class,routes_total,routes_valid,routes_skipped_abnormal,frames_analyzed,signal_routes_ratio,nonsignal_routes_ratio,signal_frame_ratio,junction_frame_ratio,nonsignal_junction_frame_ratio,route_class_counts
Accident,R4_R5_shared,192,172,20,23553,0.19186046511627908,0.38953488372093026,0.06096887869910415,0.18969982592451068,0.12873094722540654,"{""R4_R5_shared"": 21, ""R4_only"": 12, ""R5_only"": 46, ""junction_uncertain_control"": 3, ""no_visible_R4_R5"": 90}"
AccidentTwoWays,R4_R5_shared,596,511,85,88231,0.2465753424657534,0.33659491193737767,0.06450113905543403,0.1435209846879215,0.07901984563248744,"{""R4_R5_shared"": 65, ""R4_only"": 61, ""R5_only"": 107, ""empty"": 1, ""junction_uncertain_control"": 23, ""no_visible_R4_R5"": 254}"
BlockedIntersection,R4_R5_shared,156,156,0,25179,0.5,0.6666666666666666,0.16851344374280153,0.5527622224869931,0.3842487787441916,"{""R4_R5_shared"": 48, ""R4_only"": 30, ""R5_only"": 56, ""junction_uncertain_control"": 12, ""no_visible_R4_R5"": 10}"
ConstructionObstacle,R4_R5_shared,193,170,23,22231,0.19411764705882353,0.3941176470588235,0.07003733525257523,0.19054473482974224,0.12050739957716702,"{""R4_R5_shared"": 22, ""R4_only"": 11, ""R5_only"": 45, ""junction_uncertain_control"": 2, ""no_visible_R4_R5"": 90}"
ConstructionObstacleTwoWays,R4_R5_shared,559,465,94,74178,0.24946236559139784,0.38924731182795697,0.054261371296071614,0.14748308123702444,0.09322170994095284,"{""R4_R5_shared"": 67, ""R4_only"": 49, ""R5_only"": 114, ""junction_uncertain_control"": 18, ""no_visible_R4_R5"": 217}"
ControlLoss,R4_R5_shared,310,310,0,41835,0.23548387096774193,0.5483870967741935,0.10596390582048525,0.3285765507350305,0.22261264491454524,"{""R4_R5_shared"": 51, ""R4_only"": 22, ""R5_only"": 119, ""empty"": 1, ""junction_uncertain_control"": 13, ""no_visible_R4_R5"": 104}"
CrossJunctionDefectTrafficLight,R4_R5_shared,155,123,32,6723,0.8780487804878049,0.7560975609756098,0.3322921314889186,0.7774802915365164,0.4451881600475978,"{""R4_R5_shared"": 78, ""R4_only"": 30, ""R5_only"": 15}"
CrossingBicycleFlow,R4_R5_shared,49,48,1,5005,0.9583333333333334,0.9166666666666666,0.2783216783216783,0.5136863136863137,0.23536463536463537,"{""R4_R5_shared"": 42, ""R4_only"": 4, ""R5_only"": 2}"
DynamicObjectCrossing,R4_R5_shared,314,294,20,42608,0.24829931972789115,0.6462585034013606,0.06778069846038302,0.34282294404806607,0.2750422455876831,"{""R4_R5_shared"": 52, ""R4_only"": 21, ""R5_only"": 138, ""junction_uncertain_control"": 19, ""no_visible_R4_R5"": 64}"
EnterActorFlow,R5_only,93,80,13,8083,0.0,0.5625,0.0,0.1880489917109984,0.1880489917109984,"{""R5_only"": 45, ""junction_uncertain_control"": 1, ""no_visible_R4_R5"": 34}"
EnterActorFlowV2,R5_only,43,43,0,5407,0.0,0.6744186046511628,0.0,0.15646384316626596,0.15646384316626596,"{""R5_only"": 29, ""junction_uncertain_control"": 4, ""no_visible_R4_R5"": 10}"
HardBreakRoute,R4_R5_shared,97,97,0,12909,0.24742268041237114,0.41237113402061853,0.07607095824618483,0.23007204276086451,0.15400108451467967,"{""R4_R5_shared"": 17, ""R4_only"": 7, ""R5_only"": 23, ""junction_uncertain_control"": 3, ""no_visible_R4_R5"": 47}"
HazardAtSideLane,R4_R5_shared,104,101,3,21511,0.5346534653465347,0.6138613861386139,0.182929663892892,0.35312165868625356,0.17019199479336153,"{""R4_R5_shared"": 42, ""R4_only"": 12, ""R5_only"": 20, ""junction_uncertain_control"": 1, ""no_visible_R4_R5"": 26}"
